Stock,Return %
SBIN_ohlcv,522.493686034335
TECHM_ohlcv,2759.4658246027575
RELIANCE_ohlcv,1089.9281101506585
INFY_ohlcv,75545.95037270294
HAVELLS_ohlcv,32119.056426838335
LT_ohlcv,6919.112822467541
TATASTEEL_ohlcv,19089.014639192992
ONGC_ohlcv,1268.9493040184398
DABUR_ohlcv,1145.211248077159
TCS_ohlcv,796.273442209171
INDUSINDBK_ohlcv,2858.3474554833356
VOLTAS_ohlcv,1041448.7306455687
ADANIENT_ohlcv,4652042.53152512
BAJAJFINSV_ohlcv,15687.618056339994
TATACONSUM_ohlcv,1282.644171695675
TORNTPHARM_ohlcv,3559.965254656042
COLPAL_ohlcv,890.1364293983249
NESTLEIND_ohlcv,156.52384553094896
PAGEIND_ohlcv,4420.3934611425
HDFCBANK_ohlcv,1541.7019699988687
SUNPHARMA_ohlcv,5554.134010110669
WIPRO_ohlcv,36111.697034736375
HINDALCO_ohlcv,2521.464629493951
MARUTI_ohlcv,2362.349970026145
M&M_ohlcv,10370.967765668835
ASIANPAINT_ohlcv,5285.715304223267
BRITANNIA_ohlcv,16227.289794190448
DMART_ohlcv,286.75838268200164
INDIGO_ohlcv,159.41487969761337
EICHERMOT_ohlcv,60554.11033264337
CIPLA_ohlcv,1022.8846185315901
AXISBANK_ohlcv,10601.519898111235
DIVISLAB_ohlcv,10077.41114725524
SIEMENS_ohlcv,6236.24164233463
SBILIFE_ohlcv,67.9165798750297
COALINDIA_ohlcv,27.4298593199658
BHARTIARTL_ohlcv,3124.457951872245
MUTHOOTFIN_ohlcv,368.03820240116306
GODREJCP_ohlcv,1021.3382314557612
BERGEPAINT_ohlcv,1463.5043766435306
KOTAKBANK_ohlcv,14249.475288133852
NTPC_ohlcv,308.22229615824784
PETRONET_ohlcv,422.0236462417074
ADANIPORTS_ohlcv,168.07871532790836
DRREDDY_ohlcv,537.3470849185838
BOSCHLTD_ohlcv,5710.453004564913
GRASIM_ohlcv,8726.398199584146
TITAN_ohlcv,6718.180229985981
ITC_ohlcv,435.26005192681714
SRF_ohlcv,10968.61561812488
HDFCLIFE_ohlcv,80.9334993503747
GAIL_ohlcv,-8.306760138282154
HEROMOTOCO_ohlcv,1240.4100229304654
ICICIBANK_ohlcv,1025.096589218665
BAJFINANCE_ohlcv,463666.9243901114
AUROPHARMA_ohlcv,29191.959108143914
HCLTECH_ohlcv,1962.6103000761823
TATAMOTORS_ohlcv,24620.695198406313
BAJAJ-AUTO_ohlcv,4109.654405190172
SHREECEM_ohlcv,21079.215581701425
UPL_ohlcv,1018.19382637319
ULTRACEMCO_ohlcv,946.1367926296635
PIDILITIND_ohlcv,13262.350639392267
AMBUJACEM_ohlcv,1283.4852877490318
BPCL_ohlcv,1843.3708880441586
HINDUNILVR_ohlcv,593.3824473969705
APOLLOHOSP_ohlcv,615.7394710945922
JSWSTEEL_ohlcv,7022.615582700334
ICICIPRULI_ohlcv,98.02012732704775
POWERGRID_ohlcv,82.37526726154458
