Stock,Total Return,CAGR,Sharpe Ratio,Max Drawdown,Average Daily Return,Daily Return StdDev
SBIN_ohlcv,0.0,0.0,,0.0,0.0,0.0
DRREDDY_ohlcv,0.0,0.0,,0.0,0.0,0.0
HDFCLIFE_ohlcv,0.0,0.0,,0.0,0.0,0.0
SRF_ohlcv,0.0,0.0,,0.0,0.0,0.0
ITC_ohlcv,0.0,0.0,,0.0,0.0,0.0
TITAN_ohlcv,0.0,0.0,,0.0,0.0,0.0
GRASIM_ohlcv,0.0,0.0,,0.0,0.0,0.0
BOSCHLTD_ohlcv,0.0,0.0,,0.0,0.0,0.0
ADANIPORTS_ohlcv,0.0,0.0,,0.0,0.0,0.0
HEROMOTOCO_ohlcv,0.0,0.0,,0.0,0.0,0.0
PETRONET_ohlcv,0.0,0.0,,0.0,0.0,0.0
NTPC_ohlcv,0.0,0.0,,0.0,0.0,0.0
KOTAKBANK_ohlcv,0.0,0.0,,0.0,0.0,0.0
BERGEPAINT_ohlcv,0.0,0.0,,0.0,0.0,0.0
GODREJCP_ohlcv,0.0,0.0,,0.0,0.0,0.0
MUTHOOTFIN_ohlcv,0.0,0.0,,0.0,0.0,0.0
GAIL_ohlcv,0.0,0.0,,0.0,0.0,0.0
ICICIBANK_ohlcv,0.0,0.0,,0.0,0.0,0.0
TECHM_ohlcv,0.0,0.0,,0.0,0.0,0.0
PIDILITIND_ohlcv,0.0,0.0,,0.0,0.0,0.0
ICICIPRULI_ohlcv,0.0,0.0,,0.0,0.0,0.0
JSWSTEEL_ohlcv,0.0,0.0,,0.0,0.0,0.0
APOLLOHOSP_ohlcv,0.0,0.0,,0.0,0.0,0.0
HINDUNILVR_ohlcv,0.0,0.0,,0.0,0.0,0.0
BPCL_ohlcv,0.0,0.0,,0.0,0.0,0.0
AMBUJACEM_ohlcv,0.0,0.0,,0.0,0.0,0.0
ULTRACEMCO_ohlcv,0.0,0.0,,0.0,0.0,0.0
BAJFINANCE_ohlcv,0.0,0.0,,0.0,0.0,0.0
UPL_ohlcv,0.0,0.0,,0.0,0.0,0.0
SHREECEM_ohlcv,0.0,0.0,,0.0,0.0,0.0
BAJAJ-AUTO_ohlcv,0.0,0.0,,0.0,0.0,0.0
TATAMOTORS_ohlcv,0.0,0.0,,0.0,0.0,0.0
HCLTECH_ohlcv,0.0,0.0,,0.0,0.0,0.0
AUROPHARMA_ohlcv,0.0,0.0,,0.0,0.0,0.0
BHARTIARTL_ohlcv,0.0,0.0,,0.0,0.0,0.0
COALINDIA_ohlcv,0.0,0.0,,0.0,0.0,0.0
SBILIFE_ohlcv,0.0,0.0,,0.0,0.0,0.0
TCS_ohlcv,0.0,0.0,,0.0,0.0,0.0
TORNTPHARM_ohlcv,0.0,0.0,,0.0,0.0,0.0
TATACONSUM_ohlcv,0.0,0.0,,0.0,0.0,0.0
BAJAJFINSV_ohlcv,0.0,0.0,,0.0,0.0,0.0
ADANIENT_ohlcv,0.0,0.0,,0.0,0.0,0.0
VOLTAS_ohlcv,0.0,0.0,,0.0,0.0,0.0
INDUSINDBK_ohlcv,0.0,0.0,,0.0,0.0,0.0
DABUR_ohlcv,0.0,0.0,,0.0,0.0,0.0
SIEMENS_ohlcv,0.0,0.0,,0.0,0.0,0.0
ONGC_ohlcv,0.0,0.0,,0.0,0.0,0.0
TATASTEEL_ohlcv,0.0,0.0,,0.0,0.0,0.0
LT_ohlcv,0.0,0.0,,0.0,0.0,0.0
HAVELLS_ohlcv,0.0,0.0,,0.0,0.0,0.0
INFY_ohlcv,0.0,0.0,,0.0,0.0,0.0
RELIANCE_ohlcv,0.0,0.0,,0.0,0.0,0.0
COLPAL_ohlcv,0.0,0.0,,0.0,0.0,0.0
NESTLEIND_ohlcv,0.0,0.0,,0.0,0.0,0.0
PAGEIND_ohlcv,0.0,0.0,,0.0,0.0,0.0
HDFCBANK_ohlcv,0.0,0.0,,0.0,0.0,0.0
SUNPHARMA_ohlcv,0.0,0.0,,0.0,0.0,0.0
WIPRO_ohlcv,0.0,0.0,,0.0,0.0,0.0
HINDALCO_ohlcv,0.0,0.0,,0.0,0.0,0.0
MARUTI_ohlcv,0.0,0.0,,0.0,0.0,0.0
M&M_ohlcv,0.0,0.0,,0.0,0.0,0.0
ASIANPAINT_ohlcv,0.0,0.0,,0.0,0.0,0.0
BRITANNIA_ohlcv,0.0,0.0,,0.0,0.0,0.0
DMART_ohlcv,0.0,0.0,,0.0,0.0,0.0
INDIGO_ohlcv,0.0,0.0,,0.0,0.0,0.0
EICHERMOT_ohlcv,0.0,0.0,,0.0,0.0,0.0
CIPLA_ohlcv,0.0,0.0,,0.0,0.0,0.0
AXISBANK_ohlcv,0.0,0.0,,0.0,0.0,0.0
DIVISLAB_ohlcv,0.0,0.0,,0.0,0.0,0.0
POWERGRID_ohlcv,0.0,0.0,,0.0,0.0,0.0
