Stock,Date,Action,Qty,Price,Cash_After
RELIANCE_ohlcv,2005-07-28,BUY,5299.0,188.70848083496097,-966.2061844025824
TATASTEEL_ohlcv,2003-04-14,BUY,23125.0,43.24147033691406,-958.960542678833
VOLTAS_ohlcv,2006-09-22,BUY,10586.0,94.46356201171876,-991.2587235108588
ADANIENT_ohlcv,2003-09-04,BUY,1789797.0,0.5587224364280701,-999.7402922021747
EICHERMOT_ohlcv,2005-07-28,BUY,4225.0,236.6411895751953,-808.8349811553956
CIPLA_ohlcv,2003-04-15,BUY,19915.0,50.21308135986328,-993.5087969589233
KOTAKBANK_ohlcv,2003-11-27,BUY,60053.0,16.65176773071289,-988.5961400337219
DRREDDY_ohlcv,2005-07-28,BUY,2669.0,374.6587219238281,-964.0929435119629
GRASIM_ohlcv,2005-07-28,BUY,854.0,1169.8544921875,-54.79206445312502
SRF_ohlcv,2005-07-28,BUY,6442.0,155.20997619628906,-862.5293231506348
GAIL_ohlcv,2005-07-28,BUY,7409.0,134.96868896484375,-982.9995570678711
BAJFINANCE_ohlcv,2005-07-28,BUY,3566.0,280.38543701171875,-854.3228521728516
PIDILITIND_ohlcv,2003-11-27,BUY,169660.0,5.89411735534668,-995.9464586257935
AMBUJACEM_ohlcv,2004-10-14,BUY,30870.0,32.39332580566406,-981.949588470459
BPCL_ohlcv,2005-07-28,BUY,9526.0,104.97249603271484,-967.9652048492432
